name	overloads	comparer_overloads	category	is_static	dotnet_added	notes
Sum	20	0	aggregation	no		immediate. 20 overloads with the same shape as Average. Returns zero (not an error) for an empty sequence. Can throw OverflowException in a checked context.
Take	2	0	partitioning	no		deferred. 2 overloads: Int32 count and System.Range (Range overload added net-6.0).
TakeLast	1	0	partitioning	no	netcore-2.0	deferred, added netcore-2.0. Buffers a window of count elements.
TakeWhile	2	0	partitioning	no		deferred. 2 overloads: predicate and indexed predicate.
ThenBy	2	1	ordering	no		deferred. Extension on IOrderedEnumerable<T>, NOT on IEnumerable<T> - only callable after OrderBy/Order. Stable secondary sort.
ThenByDescending	2	1	ordering	no		deferred. Extension on IOrderedEnumerable<T>, not on IEnumerable<T>.
ToArray	1	0	conversion	no		immediate.
ToDictionary	8	4	conversion	no		immediate. Throws ArgumentException on duplicate keys. 8 overloads in net-10; the KeyValuePair and ValueTuple source overloads were added net-8.0.
ToHashSet	2	1	conversion	no	netcore-2.0	immediate, added netcore-2.0.
ToList	1	0	conversion	no		immediate.
ToLookup	4	2	conversion	no		immediate. Returns ILookup (one-to-many), unlike ToDictionary; duplicate keys are allowed and grouped.
TryGetNonEnumeratedCount	1	0	aggregation	no	net-6.0	immediate, added net-6.0. Non-enumerating count probe via ICollection tests; typically O(1). Maps to Rust Iterator::size_hint, not to len().
Union	2	1	set	no		deferred. Set union preserving first-seen order.
UnionBy	2	1	set	no	net-6.0	deferred. Comparer applies to the key.
Where	2	0	filtering	no		deferred. 2 overloads: predicate and indexed predicate.
Zip	3	0	projection	no	netframework-4.0	deferred. 3 overloads in net-10: 2-sequence with result selector (netframework-4.0), 2-sequence tuple form (netcore-3.0), 3-sequence tuple form (net-6.0). Stops at the shortest sequence.
